restaurant_id,restaurant,date,wk_id,total_reviews,avg_rating,display_rating,neighborhood,yelp_category,delivers,takeout,price,avail_7pm,avail_8pm
4,one-market-san-francisco,16sep2010,37,594,3.5619204,3.5,Financial District,American (Traditional),No,No,3,1,1
4,one-market-san-francisco,11sep2010,37,590,3.5572517,3.5,Financial District,American (Traditional),No,No,3,1,1
4,one-market-san-francisco,10sep2010,37,590,3.5572517,3.5,Financial District,American (Traditional),No,No,3,1,0
4,one-market-san-francisco,09sep2010,36,590,3.5572517,3.5,Financial District,American (Traditional),No,No,3,0,0
4,one-market-san-francisco,04sep2010,36,585,3.5577407,3.5,Financial District,American (Traditional),No,No,3,1,0
4,one-market-san-francisco,03sep2010,36,585,3.5577407,3.5,Financial District,American (Traditional),No,No,3,1,1
4,one-market-san-francisco,02sep2010,35,585,3.5577407,3.5,Financial District,American (Traditional),No,No,3,1,1
4,one-market-san-francisco,28aug2010,35,583,3.5557461,3.5,Financial District,American (Traditional),No,No,3,0,1
4,one-market-san-francisco,27aug2010,35,583,3.5557461,3.5,Financial District,American (Traditional),No,No,3,1,1
4,one-market-san-francisco,26aug2010,34,583,3.5557461,3.5,Financial District,American (Traditional),No,No,3,0,1
4,one-market-san-francisco,21aug2010,34,581,3.5576591,3.5,Financial District,American (Traditional),No,No,3,1,1
4,one-market-san-francisco,20aug2010,34,581,3.5576591,3.5,Financial District,American (Traditional),No,No,3,1,1
4,one-market-san-francisco,19aug2010,33,581,3.5576591,3.5,Financial District,American (Traditional),No,No,3,1,1
4,one-market-san-francisco,14aug2010,33,580,3.556514,3.5,Financial District,American (Traditional),No,No,3,0,1
4,one-market-san-francisco,13aug2010,33,580,3.556514,3.5,Financial District,American (Traditional),No,No,3,1,1
4,one-market-san-francisco,12aug2010,32,580,3.556514,3.5,Financial District,American (Traditional),No,No,3,1,1
4,one-market-san-francisco,07aug2010,32,578,3.5553634,3.5,Financial District,American (Traditional),No,No,3,0,0
4,one-market-san-francisco,06aug2010,32,578,3.5553634,3.5,Financial District,American (Traditional),No,No,3,1,0
4,one-market-san-francisco,05aug2010,31,578,3.5553634,3.5,Financial District,American (Traditional),No,No,3,1,1
4,one-market-san-francisco,31jul2010,31,577,3.5545926,3.5,Financial District,American (Traditional),No,No,3,0,0
4,one-market-san-francisco,30jul2010,31,577,3.5545926,3.5,Financial District,American (Traditional),No,No,3,0,0
4,one-market-san-francisco,29jul2010,30,577,3.5545926,3.5,Financial District,American (Traditional),No,No,3,1,1
4,one-market-san-francisco,24jul2010,30,573,3.5532286,3.5,Financial District,American (Traditional),No,No,3,0,1
4,one-market-san-francisco,23jul2010,30,573,3.5532286,3.5,Financial District,American (Traditional),No,No,3,0,1
4,one-market-san-francisco,22jul2010,29,573,3.5532286,3.5,Financial District,American (Traditional),No,No,3,0,1
9,fleur-de-lys-san-francisco,30oct2010,44,677,4.0827179,4,Nob Hill,French,No,No,4,0,0
9,fleur-de-lys-san-francisco,29oct2010,44,677,4.0827179,4,Nob Hill,French,No,No,4,0,0
9,fleur-de-lys-san-francisco,28oct2010,43,677,4.0827179,4,Nob Hill,French,No,No,4,0,0
9,fleur-de-lys-san-francisco,23oct2010,43,670,4.0805969,4,Nob Hill,French,No,No,4,0,0
9,fleur-de-lys-san-francisco,22oct2010,43,670,4.0805969,4,Nob Hill,French,No,No,4,0,0
9,fleur-de-lys-san-francisco,21oct2010,42,669,4.0822124,4,Nob Hill,French,No,No,4,1,0
9,fleur-de-lys-san-francisco,16oct2010,42,666,4.081893,4,Nob Hill,French,No,No,4,0,0
9,fleur-de-lys-san-francisco,15oct2010,42,664,4.0828314,4,Nob Hill,French,No,No,4,0,0
9,fleur-de-lys-san-francisco,14oct2010,41,664,4.0828314,4,Nob Hill,French,No,No,4,0,0
9,fleur-de-lys-san-francisco,09oct2010,41,663,4.0807543,4,Nob Hill,French,No,No,4,0,0
9,fleur-de-lys-san-francisco,08oct2010,41,663,4.0807543,4,Nob Hill,French,No,No,4,0,0
9,fleur-de-lys-san-francisco,07oct2010,40,661,4.0816946,4,Nob Hill,French,No,No,4,0,0
9,fleur-de-lys-san-francisco,02oct2010,40,654,4.0749235,4,Nob Hill,French,No,No,4,0,0
9,fleur-de-lys-san-francisco,01oct2010,40,654,4.0749235,4,Nob Hill,French,No,No,4,0,0
9,fleur-de-lys-san-francisco,30sep2010,39,653,4.0735068,4,Nob Hill,French,No,No,4,0,0
9,fleur-de-lys-san-francisco,25sep2010,39,649,4.0770416,4,Nob Hill,French,No,No,4,0,0
9,fleur-de-lys-san-francisco,24sep2010,39,649,4.0770416,4,Nob Hill,French,No,No,4,0,0
9,fleur-de-lys-san-francisco,23sep2010,38,649,4.0770416,4,Nob Hill,French,No,No,4,0,0
9,fleur-de-lys-san-francisco,18sep2010,38,649,4.0770416,4,Nob Hill,French,No,No,4,0,0
9,fleur-de-lys-san-francisco,17sep2010,38,649,4.0770416,4,Nob Hill,French,No,No,4,0,0
9,fleur-de-lys-san-francisco,16sep2010,37,649,4.0770416,4,Nob Hill,French,No,No,4,1,0
9,fleur-de-lys-san-francisco,11sep2010,37,645,4.0768032,4,Nob Hill,French,No,No,4,0,0
9,fleur-de-lys-san-francisco,10sep2010,37,643,4.0746503,4,Nob Hill,French,No,No,4,0,0
9,fleur-de-lys-san-francisco,09sep2010,36,642,4.0732088,4,Nob Hill,French,No,No,4,0,0
9,fleur-de-lys-san-francisco,04sep2010,36,638,4.0721002,4,Nob Hill,French,No,No,4,0,0
9,fleur-de-lys-san-francisco,03sep2010,36,637,4.0706992,4,Nob Hill,French,No,No,4,0,0
9,fleur-de-lys-san-francisco,02sep2010,35,637,4.0706992,4,Nob Hill,French,No,No,4,0,0
9,fleur-de-lys-san-francisco,28aug2010,35,635,4.0708661,4,Nob Hill,French,No,No,4,0,0
9,fleur-de-lys-san-francisco,27aug2010,35,635,4.0708661,4,Nob Hill,French,No,No,4,0,0
9,fleur-de-lys-san-francisco,26aug2010,34,634,4.0725551,4,Nob Hill,French,No,No,4,0,0
9,fleur-de-lys-san-francisco,21aug2010,34,632,4.0688829,4,Nob Hill,French,No,No,4,0,0
9,fleur-de-lys-san-francisco,20aug2010,34,632,4.0688829,4,Nob Hill,French,No,No,4,0,0
9,fleur-de-lys-san-francisco,19aug2010,33,630,4.0666666,4,Nob Hill,French,No,No,4,1,0
9,fleur-de-lys-san-francisco,14aug2010,33,628,4.0636945,4,Nob Hill,French,No,No,4,0,0
9,fleur-de-lys-san-francisco,13aug2010,33,627,4.0614519,4,Nob Hill,French,No,No,4,0,0
9,fleur-de-lys-san-francisco,12aug2010,32,627,4.0614519,4,Nob Hill,French,No,No,4,0,0
9,fleur-de-lys-san-francisco,07aug2010,32,627,4.0614519,4,Nob Hill,French,No,No,4,0,0
9,fleur-de-lys-san-francisco,06aug2010,32,625,4.0591998,4,Nob Hill,French,No,No,4,0,0
9,fleur-de-lys-san-francisco,05aug2010,31,625,4.0591998,4,Nob Hill,French,No,No,4,0,0
9,fleur-de-lys-san-francisco,31jul2010,31,623,4.0578761,4,Nob Hill,French,No,No,4,0,0
9,fleur-de-lys-san-francisco,30jul2010,31,620,4.0564518,4,Nob Hill,French,No,No,4,0,0
9,fleur-de-lys-san-francisco,29jul2010,30,620,4.0564518,4,Nob Hill,French,No,No,4,0,0
9,fleur-de-lys-san-francisco,24jul2010,30,616,4.0600648,4,Nob Hill,French,No,No,4,0,0
9,fleur-de-lys-san-francisco,23jul2010,30,615,4.0585365,4,Nob Hill,French,No,No,4,0,0
9,fleur-de-lys-san-francisco,22jul2010,29,614,4.0586319,4,Nob Hill,French,No,No,4,0,0
10,harris-restaurant-san-francisco,30oct2010,44,750,4.3173332,4.5,Nob Hill,Steakhouses,No,No,4,1,1
10,harris-restaurant-san-francisco,29oct2010,44,750,4.3173332,4.5,Nob Hill,Steakhouses,No,No,4,1,1
10,harris-restaurant-san-francisco,28oct2010,43,749,4.3190746,4.5,Nob Hill,Steakhouses,No,No,4,1,1
10,harris-restaurant-san-francisco,23oct2010,43,744,4.3207798,4.5,Nob Hill,Steakhouses,No,No,4,0,1
10,harris-restaurant-san-francisco,22oct2010,43,744,4.3207798,4.5,Nob Hill,Steakhouses,No,No,4,1,0
10,harris-restaurant-san-francisco,21oct2010,42,744,4.3207798,4.5,Nob Hill,Steakhouses,No,No,4,1,1
10,harris-restaurant-san-francisco,16oct2010,42,744,4.3207798,4.5,Nob Hill,Steakhouses,No,No,4,0,0
10,harris-restaurant-san-francisco,15oct2010,42,744,4.3207798,4.5,Nob Hill,Steakhouses,No,No,4,0,0
10,harris-restaurant-san-francisco,14oct2010,41,744,4.3207798,4.5,Nob Hill,Steakhouses,No,No,4,1,1
10,harris-restaurant-san-francisco,09oct2010,41,741,4.3225369,4.5,Nob Hill,Steakhouses,No,No,4,0,0
10,harris-restaurant-san-francisco,08oct2010,41,741,4.3225369,4.5,Nob Hill,Steakhouses,No,No,4,0,0
10,harris-restaurant-san-francisco,07oct2010,40,741,4.3225369,4.5,Nob Hill,Steakhouses,No,No,4,0,1
10,harris-restaurant-san-francisco,02oct2010,40,738,4.3211384,4.5,Nob Hill,Steakhouses,No,No,4,0,0
10,harris-restaurant-san-francisco,01oct2010,40,738,4.3211384,4.5,Nob Hill,Steakhouses,No,No,4,1,0
10,harris-restaurant-san-francisco,30sep2010,39,737,4.3202171,4.5,Nob Hill,Steakhouses,No,No,4,0,1
10,harris-restaurant-san-francisco,25sep2010,39,734,4.3183365,4.5,Nob Hill,Steakhouses,No,No,4,1,1
10,harris-restaurant-san-francisco,24sep2010,39,734,4.3183365,4.5,Nob Hill,Steakhouses,No,No,4,0,1
10,harris-restaurant-san-francisco,23sep2010,38,734,4.3183365,4.5,Nob Hill,Steakhouses,No,No,4,0,0
10,harris-restaurant-san-francisco,18sep2010,38,732,4.3196721,4.5,Nob Hill,Steakhouses,No,No,4,1,1
10,harris-restaurant-san-francisco,17sep2010,38,732,4.3196721,4.5,Nob Hill,Steakhouses,No,No,4,1,0
10,harris-restaurant-san-francisco,16sep2010,37,731,4.3203287,4.5,Nob Hill,Steakhouses,No,No,4,1,1
10,harris-restaurant-san-francisco,11sep2010,37,727,4.3218708,4.5,Nob Hill,Steakhouses,No,No,4,0,1
10,harris-restaurant-san-francisco,10sep2010,37,726,4.3236914,4.5,Nob Hill,Steakhouses,No,No,4,0,1
10,harris-restaurant-san-francisco,09sep2010,36,725,4.3268967,4.5,Nob Hill,Steakhouses,No,No,4,0,1
10,harris-restaurant-san-francisco,03sep2010,36,722,4.3282547,4.5,Nob Hill,Steakhouses,No,No,4,0,0
10,harris-restaurant-san-francisco,02sep2010,35,721,4.3287101,4.5,Nob Hill,Steakhouses,No,No,4,1,1
